Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,Chile,Export,Food Products,Export (US$ Thousand),4912.259,5818.215,5737.304,8774.725,9540.992,12217.334,12763.521,7838.629,7722.188,14198.553,7923.979,10562.683,14040.903,14438.981,14419.032,22633.765,26549.489,22611.948,31747.979,40939.77,43230.118,47118.906
Netherlands,China,Export,Food Products,Export (US$ Thousand),1410.556,2221.954,5343.774,14517.59,7950.193,10464.011,23513.695,48640.861,51416.208,33509.157,23564.085,30455.228,46203.362,55476.279,70763.439,86096.721,120944.076,302426.076,372483.365,463539.711,539336.744,657326.435
Netherlands,Christmas Island,Export,Food Products,Export (US$ Thousand),,,,,,,,,,,,4.524,,3.731,,,,,,,,
Netherlands,Cocos (Keeling) Islands,Export,Food Products,Export (US$ Thousand),1.318,164.624,1.834,5.295,1.25,1.538,94.934,,,,2592.512,2023.411,164.221,671.58,,31.575,,,,,,
Netherlands,Colombia,Export,Food Products,Export (US$ Thousand),2220.508,3192.376,4121.625,5569.572,8873.335,15600.392,11905.062,9516.763,14334.237,16194.286,16259.89,16666.849,16241.717,17667.541,17877.741,23041.495,23080.684,7473.132,15580.212,24775.685,38783.804,29690.406
Netherlands,Comoros,Export,Food Products,Export (US$ Thousand),297.387,128.774,173.749,202.415,228.25,681.527,579.719,362.977,208.956,218.563,302.333,156.082,182.883,243.759,341.725,553.248,533.436,414.398,446.968,347.092,403.802,544.768
Netherlands,"Congo, Dem. Rep.",Export,Food Products,Export (US$ Thousand),238.776,242.143,477.737,100.852,211.014,268.708,486.797,383.756,1024.532,532.077,377.917,611.886,508.837,2329.39,2444.841,3747.812,5492.033,8219.608,8126.326,15722.277,13485.788,17036.317
Netherlands,"Congo, Rep.",Export,Food Products,Export (US$ Thousand),1403.945,745.231,775.814,724.133,964.887,1055.347,1223.053,619.613,700.513,1006.824,835.197,1097.097,1422.006,1830.678,4647.206,7262.243,14567.811,8507.037,10578.682,11108.59,16741.153,18380.025
Netherlands,Cook Islands,Export,Food Products,Export (US$ Thousand),,6.7,,,,,,,,,,,,,,,110.518,,,57.471,68.085,97.166
Netherlands,Costa Rica,Export,Food Products,Export (US$ Thousand),1422.008,1757.284,2283.134,3641.71,2385.291,3246.123,3284.927,5117.972,7046.532,9360.6,7660.384,7572.241,8443.704,6251.917,8011.691,4331.264,5561.29,3474.252,3211.007,8805.464,4405.491,4880.73
Netherlands,Cote d'Ivoire,Export,Food Products,Export (US$ Thousand),2236.531,1007.926,714.925,1189.093,4427.947,1839.97,1437.18,1355.245,1282.277,2744.583,1944.386,3866.99,3966.188,5239.573,5804.299,7299.311,9313.026,10906.921,13275.077,14277.185,14363.44,27408.386
Netherlands,Croatia,Export,Food Products,Export (US$ Thousand),4913.103,24987.841,18456.098,27423.357,22826.256,19892.109,17517.432,17191.516,12767.524,17196.633,21810.549,35979.173,34134.355,39801.094,48547.553,63351.757,70217.558,72991.412,76820.109,91909.548,72085.151,66478.788
Netherlands,Cuba,Export,Food Products,Export (US$ Thousand),3216.69,5919.413,5450.027,12858.779,4304.597,5041.494,3504.602,3741.447,3418.787,3641.229,3651.625,4861.164,3487.211,2983.559,1979.994,3068.265,4285.171,2044.089,2488.165,1931.049,2056.711,6024.533
Netherlands,Curaçao,Export,Food Products,Export (US$ Thousand),,,,,,,,,,,,,,,,,,,,54723.024,52595.449,31246.518
Netherlands,Cyprus,Export,Food Products,Export (US$ Thousand),17959.949,10699.656,11191.683,12630.946,11698.46,13030.109,23048.063,12897.146,14154.738,13854.584,16351.534,20240.902,27864.092,29076.949,29968.771,30403.956,35144.881,37094.978,37400.73,62814.485,48704.498,51976.537
Netherlands,Czech Republic,Export,Food Products,Export (US$ Thousand),,26141.667,37657.986,43525.988,51551.166,62638.507,30386.036,27565.238,23300.961,26277.758,38131.849,47705.686,66480.938,90517.86,88915.063,160336.355,211514.722,179578.432,180423.808,240410.99,229566.998,301852.755
Netherlands,Czechoslovakia,Export,Food Products,Export (US$ Thousand),22698.077,,,,,,,,,,,,,,,,,,,,,
Netherlands,Denmark,Export,Food Products,Export (US$ Thousand),170391.191,166710.66,182766.332,220752.234,238771.585,210503.618,166620.893,168662.768,157360.883,156746.61,206473.192,246300.863,287948.041,269814.925,324240.403,358934.713,466304.067,403264.533,469143.81,635385.333,582258.584,679251.232
Netherlands,Djibouti,Export,Food Products,Export (US$ Thousand),2666.437,1993.875,1177.326,1121.233,1378.787,1973.826,1132.682,1581.451,1622.865,1651.765,2114.447,2039.245,2878.846,2905.208,3512.73,5016.304,4814.185,4339.328,3242.838,2598.14,3626.511,2605.837
Netherlands,Dominica,Export,Food Products,Export (US$ Thousand),205.933,192.851,118.768,78.009,125.528,236.406,128.768,99.079,221.845,41.205,28.343,61.075,313.512,574.574,648.272,741.326,1009.404,912.516,1127.366,1095.837,1342.974,1487.783
Netherlands,Dominican Republic,Export,Food Products,Export (US$ Thousand),2127.095,2250.295,3279.513,3516.361,4067.637,5617.9,3233.926,4233.961,4863.073,6518.38,6332.003,5578.236,4528.522,4048.138,10476.631,10377.185,13439.05,12137.561,17698.333,19072.597,21255.193,20995.448
Netherlands,East Timor,Export,Food Products,Export (US$ Thousand),,,,,,,,,,319.783,175.732,545.156,1369.753,1458.822,,63.15,107.572,68.369,94.167,156.096,249.443,78.414
Netherlands,Ecuador,Export,Food Products,Export (US$ Thousand),1838.15,1562.363,2440.79,4045.008,4167.695,5143.033,3904.047,2355.262,3379.205,5563.51,8836.65,9836.562,8026.929,7771.678,9085.863,10097.128,13518.623,11834.786,6890.202,13521.217,10953.198,10928.165
Netherlands,"Egypt, Arab Rep.",Export,Food Products,Export (US$ Thousand),32209.562,18485.345,24329.881,29001.335,24268.953,28925.925,24948.86,31395.639,22774.427,21337.69,22580.554,11444.885,15411.904,19040.55,23825.262,45688.99,91577.1,96520.06,114155.851,84652.633,80234.018,77797.912
Netherlands,El Salvador,Export,Food Products,Export (US$ Thousand),690.676,1216.126,1522.126,2299.157,2372.303,2300.493,1805.829,3230.09,2897.778,3656.456,4227.949,6141.489,5797.503,5235.84,7589.558,5267.53,5409.512,6885.718,8597.168,13036.487,11436.267,16831.275
Netherlands,Equatorial Guinea,Export,Food Products,Export (US$ Thousand),468.575,647.287,164.605,42.111,456.056,483.572,520.119,363.94,379.252,625.234,1010.928,1599.275,2342.639,2019.717,5230.149,6647.219,6972.981,9028.874,9846.556,13744.819,12326.071,20113.311
Netherlands,Eritrea,Export,Food Products,Export (US$ Thousand),,,,,,126.662,10.603,163.847,162.931,1134.918,949.517,929.705,624.538,700.185,341.725,79.624,125.254,173.015,204.253,149.965,32.42,51.318
Netherlands,Estonia,Export,Food Products,Export (US$ Thousand),3642.504,9774.996,13132.734,11759.265,14273.096,12595.247,12672.596,9116.05,7099.002,8469.329,11041.797,13533.897,16902.335,10566.199,14000.67,22005.011,35060.888,29808.813,34303.786,49654.198,51535.345,55149.925
Netherlands,Ethiopia(excludes Eritrea),Export,Food Products,Export (US$ Thousand),,673.267,208.574,214.231,217.799,628.173,771.08,350.874,1595.249,659.275,463.893,568.908,823.592,1732.429,2007.634,2131.998,1999.649,1915.723,1989.472,4697.903,3996.955,3441.725
Netherlands,Ethiopia(includes Eritrea),Export,Food Products,Export (US$ Thousand),1291.232,,,,,,,,,,,,,,,,,,,,,
Netherlands,Faeroe Islands,Export,Food Products,Export (US$ Thousand),516.328,368.288,383.085,483.766,472.218,319.988,346.918,234.41,239.334,224.834,306.113,547.418,864.649,492.493,746.267,1658.373,424.392,514.86,1140.63,1945.339,1551.294,2387.922
Netherlands,Falkland Island,Export,Food Products,Export (US$ Thousand),,,,,,2.051,,,0.921,0.896,,21.489,,11.193,,,,,,,,0.048
Netherlands,Fiji,Export,Food Products,Export (US$ Thousand),54.041,14.82,14.376,15.024,25.053,28.715,12.117,35.282,9.205,7.166,3.78,9.048,19.905,69.645,281.42,234.752,160.621,259.523,496.042,746.066,746.428,762.428
Netherlands,Finland,Export,Food Products,Export (US$ Thousand),50351.45,49310.191,54717.79,76985.282,82363.041,75336.353,69164.478,81114.315,75020.02,83713.326,105386,133361.931,170401.801,158251.724,161275.312,220810.67,303212.656,260882.936,282361.653,311705.697,308338.324,381349.115
